Parish_id;Dialect_en
Vor;Western
Muh;Insular
Khn;Insular
Ruh;Insular
Jaa;Insular
Vll;Insular
Mus;Insular
Kaa;Insular
Kär;Insular
Khk;Insular
Jäm;Insular
LSe;Setu
Urv;Võru
Har;Võru
Rõu;Võru
Vas;Võru
Hag;Mid
Juu;Mid
Tür;Mid
Jõe;Coastal
Jür;Mid
Krj;Insular
Kos;Mid
HJn;Mid
Kuu;Coastal
Tln;Mid
Kei;Mid
HMd;Mid
JMd;Mid
Amb;Mid
Ris;Mid
Noa;Western
LNg;Western
Rid;Western
Mar;Western
Kul;Western
Mär;Western
Vig;Western
Nis;Mid
Kir;Western
Han;Western
Kse;Western
Lih;Western
Rei;Insular
Phl;Insular
Käi;Insular
Emm;Insular
Hlj;Coastal
VNg;Coastal
VJg;Mid
Sim;Mid
Lüg;Northeastern
Jõh;Northeastern
Iis;Northeastern
Vai;Northeastern
Tõs;Western
Mih;Western
Aud;Western
PJg;Western
Rap;Mid
Vän;Western
Tor;Western
Pär;Western
Hää;Western
Saa;Western
Hls;Mulgi
Ann;Mid
Pee;Mid
Pai;Mid
Lai;Mid
Koe;Mid
Trm;Eastern
Pal;Eastern
Kod;Eastern
MMg;Eastern
TMr;Tartu
VMr;Mid
Kad;Mid
Rak;Mid
Võn;Tartu
Plv;Võru
Kam;Tartu
Puh;Tartu
Ran;Tartu
Kan;Võru
Ote;Tartu
Rõn;Tartu
San;Tartu
Luk;Tartu
Krl;Võru
Hel;Mulgi
Kõp;Mid
SJn;Mid
Pil;Mid
Plt;Mid
KJn;Mid
Pöi;Insular
Pha;Insular
Ans;Insular
Vil;Mid
Krk;Mulgi
Val;Tartu
Räp;Võru
Nõo;Tartu
Ksi;Mid
Äks;Mid
Pst;Mulgi
JJn;Mid
Trv;Mulgi
Var;Western
PSe;Setu
ISe;Setu
Avi;Eastern
