Village;VillageVerbFreq;Parish_id
Aakre;445;Rõn
Abula;119;Mus
Anseküla;1072;Ans
Arisvere;478;Plt
Aruküla;1484;Pal
Assikvere;131;Kod
Asva;1686;Pöi
Atika;913;Hls
Atla;2120;Khk
Eisma;1289;Hlj
Enivere;410;Mar
Haeska;1256;Mar
Himmaste;344;Plv
Hindu;1026;Ans
Ibaste;1759;Võn
Igaküla;1002;Muh
Juuru;820;Juu
Jõhvi;1514;Jõh
Järavere;1182;Pil
Kaagjärve;931;Krl
Kaare;390;Kam
Kaarlimõisa;1931;Trv
Kaavi;677;Jäm
Kabeli;740;Kul
Kaberneeme;418;Kuu
Kadjaste;1064;Vän
Kalaküla;854;Rid
Kalbuse;1294;Trv
Kalli;303;Vll
Kalliküla küla;449;Har
Kamari;814;Plt
Karilepa;1226;HMd
Karula;2070;Krl
Kastna;1289;Tõs
Kaunispe;2633;Jäm
Kavaru;1374;Tõs
Kelnase;799;Jõe
Kelu;254;Kir
Kerepäälse;539;Vas
Kesavälja;540;Iis
Keskvere;219;Mar
Kiideva;676;Rid
Kiisamaa;392;Mih
Kiraste;2315;Tõs
Kirikuküla;558;Kam
Kirna ;817;Mar
Kiuma;365;Plv
Kleemu;929;Käi
Kobra;316;Vän
Kohtla-Vanaküla;1766;Jõh
Koimla;450;Khk
Kolo;1209;ISe
Kolu;455;Kos
Koorla;261;LSe
Koruste;722;Rõn
Kosselka;911;ISe
Kotlandi;843;Khk
Krei;1128;Kos
Kuijõemõisa;972;Kul
Kukevere;831;Amb
Kukka;904;Phl
Kullamaa;1310;Kul
Kurla;491;Pil
Kutsala;708;VNg
Kuutsi;749;Har
Kõnnu;987;Iis
Kõo;632;Pil
Kõpu;1742;Reigi
Kõrkküla;2600;Plt
Kõrveküla;1567;Amb
Kägiste;586;Hää
Kärasi;265;Avi
Käsukonna;737;Pil
Kütametsa;677;Avi
Laheküla küla;828;Käi
Lammiku;1492;Äks
Laoküla;1142;HMd
Laukna;1212;Kul
Leedri;779;Khk
Leesi;650;Kuu
Leigri küla;806;Käi
Leisu;931;Plt
Lemsi;612;Khn
Liivaküla;786;Mar
Linaküla;1496;Khn
Lutike;528;Ote
Lõetsa;724;Muh
Lõpe;968;Phl
Lõpolja;1071;PSe
Lüganuse;837;Lüg
Madise küla;1203;HMd
Maetsma;552;Avi
Maidla;881;Kul
Maima;725;PJg
Mammaste;3091;Plv
Manniva;1025;Jõe
Matsi;844;Var
Metsaküla;677;Tor
Metsavahi;799;VJg
Missokülä küla;368;Vas
Moka;1130;Käi
Mokra;422;LSe
Mustvee;817;Trm
Mõisaküla;521;Khn
Mäeküla;808;Pee
Männiku;1206;VNg
Mänspe;328;Emm
Möldri;329;Ans
Napi;681;LSe
Nasva;504;Käi
Navi;993;Plv
Neeme;1024;Jõe
Neeruti;633;Ote
Noodasküla;704;Vas
Nüpli;481;Ote
Ohtu;354;Kei
Orjatu;839;Pst
Pagasi;565;Rid
Paimvere;214;Mih
Pala;470;Kod
Palo;865;LSe
Paluküla;407;Võn
Pedajamäe;128;Ote
Peerni;1610;Tõs
Pikkjärve;686;Krl
Pikru;282;Trv
Plaksi;1352;Rõu
Podmotsa;773;PSe
Potsu;950;Hlj
Prangli;598;Jõe
Prümli;702;Amb
Pulli;114;Vas
Pulli;327;Jaa
Puspuri;365;Vas
Putkaste;1668;Mar
Põgari-Sassi;203;Rid
Põhjaka;1813;SJn
Pärispea;654;Kuu
Pühaste;819;Rõn
Raadama;713;Räp
Raassilla;2832;Pst
Raatvere;702;Kod
Rabavere;827;Mih
Rammu saar;727;Jõe
Ranna;356;Kod
Rannajõe;651;Mar
Rautsika;627;Hää
Ristivälja;561;Käi
Roobe;1045;Hel
Rootsiküla;1069;Khn
Ruuksu;1486;Har
Rõuma;1245;Kul
Rädi;786;Var
Räni;446;Kam
Sabelina;1042;ISe
Sakla;417;Phl
Salmistu;435;Kuu
Salutaguse;273;Juu
Sandra;747;ISe
Sarapiku;2430;Vän
Saru;629;Har
Sassi;904;Kei
Savioja;206;Vas
Selja;923;Krj
Serga;1510;LSe
Silmsi;655;Pee
Soonda;1594;Muh
Sootaguse;399;Iis
Sudiste;978;Krk
Sultsi;130;Pst
Suure-Rootsi;1779;Pha
Suuremõisa;823;Muh
Sõmeru;863;Mär
Sõtke;1272;Vai
Säre;273;Urv
Sääre;707;Phl
Sääritsa;990;Kod
Süvalõpe;1851;Pal
Taga-Kõrkküla;991;Lüg
Tagamaa;664;Lüg
Tahku;374;Hää
Tamme;1711;Mih
Tammispää;563;Trm
Tamsa;3760;Nõo
Terikeste;604;Võn
Tohkri;129;Vas
Toomja;995;Juu
Tooste;739;Räp
Treimani;404;Hää
Tsiistre;185;Vas
Tuula;583;Kei
Tuulavere;537;Trm
Tõia;430;Tor
Tõreda;541;Trm
Tärkma;1953;Emm
Udria;1257;Vai
Umbusi;548;Plt
Undva;713;Khk
Uniküla;833;Lüg
Ura;115;Mih
Urvaste;1871;Kul
Uuri;236;Vas
Uus-Aru;458;VJg
Vaartsi;540;PSe
Vadiküla;695;VMr
Vahenurme;667;PJg
Vaila;1213;Kei
Vaiste;1030;Var
Vakiste;2065;Krk
Vanamaa;957;Kul
Vanamõisa;423;SJn
Verhulitsa;1860;PSe
Viinistu;862;Kuu
Villa;859;Rõu
Viskla;617;Kos
Võhma;4221;Mus
Väemla;523;HMd
Väike-Rootsi;1211;Pha
Väike-Rõngu;701;Rõn
Ämmuste;177;Trv
Öötla;883;Pee
